ma_don_vi,ten_don_vi,thang,linh_vuc,tiep_nhan,da_xu_ly,dung_han,truc_tuyen,thoi_gian_tb_ngay
DV12,Xã Hương Trà,2026-05,Hộ tịch,11,10,7,5,6.0
DV12,Xã Hương Trà,2026-05,Đất đai,7,6,4,2,5.2
DV12,Xã Hương Trà,2026-05,Chứng thực,18,17,11,8,4.9
DV12,Xã Hương Trà,2026-05,Bảo trợ xã hội,4,3,2,1,5.3
DV12,Xã Hương Trà,2026-05,Đăng ký kinh doanh,3,2,1,1,5.2
DV12,Xã Hương Trà,2026-06,Hộ tịch,12,11,7,4,4.9
DV12,Xã Hương Trà,2026-06,Đất đai,8,7,4,3,5.5
DV12,Xã Hương Trà,2026-06,Chứng thực,18,17,12,8,5.2
DV12,Xã Hương Trà,2026-06,Bảo trợ xã hội,4,3,2,1,5.6
DV12,Xã Hương Trà,2026-06,Đăng ký kinh doanh,4,3,2,1,4.8
DV12,Xã Hương Trà,2026-07,Hộ tịch,10,9,6,3,5.7
DV12,Xã Hương Trà,2026-07,Đất đai,6,5,3,2,5.5
DV12,Xã Hương Trà,2026-07,Chứng thực,15,14,10,6,5.9
DV12,Xã Hương Trà,2026-07,Bảo trợ xã hội,4,3,1,1,5.0
DV12,Xã Hương Trà,2026-07,Đăng ký kinh doanh,3,2,1,1,5.9
DV12,Xã Hương Trà,2026-08,Hộ tịch,14,13,8,6,5.4
DV12,Xã Hương Trà,2026-08,Đất đai,6,5,3,1,5.7
DV12,Xã Hương Trà,2026-08,Chứng thực,16,15,10,7,4.6
DV12,Xã Hương Trà,2026-08,Bảo trợ xã hội,4,3,1,1,4.9
DV12,Xã Hương Trà,2026-08,Đăng ký kinh doanh,3,2,1,1,5.4
DV12,Xã Hương Trà,2026-09,Hộ tịch,13,12,8,4,5.9
DV12,Xã Hương Trà,2026-09,Đất đai,6,5,3,2,5.2
DV12,Xã Hương Trà,2026-09,Chứng thực,14,13,9,6,5.4
DV12,Xã Hương Trà,2026-09,Bảo trợ xã hội,4,3,2,1,5.0
DV12,Xã Hương Trà,2026-09,Đăng ký kinh doanh,3,2,1,1,4.8
DV12,Xã Hương Trà,2026-10,Hộ tịch,12,11,7,4,5.5
DV12,Xã Hương Trà,2026-10,Đất đai,6,5,3,2,5.2
DV12,Xã Hương Trà,2026-10,Chứng thực,17,16,10,8,5.2
DV12,Xã Hương Trà,2026-10,Bảo trợ xã hội,3,2,1,1,4.8
DV12,Xã Hương Trà,2026-10,Đăng ký kinh doanh,3,2,1,1,5.5
DV12,Xã Hương Trà,2026-11,Hộ tịch,12,11,7,4,4.9
DV12,Xã Hương Trà,2026-11,Đất đai,7,6,4,,5.2
DV12,Xã Hương Trà,2026-11,Chứng thực,18,17,11,6,4.6
DV12,Xã Hương Trà,2026-11,Bảo trợ xã hội,4,3,2,1,5.0
DV12,Xã Hương Trà,2026-11,Đăng ký kinh doanh,3,2,1,0,5.3
DV12,Xã Hương Trà,2026-12,Hộ tịch,12,11,7,5,4.6
DV12,Xã Hương Trà,2026-12,Đất đai,10,9,6,3,5.3
DV12,Xã Hương Trà,2026-12,Chứng thực,22,21,14,7,4.7
DV12,Xã Hương Trà,2026-12,Bảo trợ xã hội,3,2,1,0,5.8
DV12,Xã Hương Trà,2026-12,Đăng ký kinh doanh,3,2,1,1,5.5
